request_number,latency_seconds
1,0.0823218822479248
2,0.07715201377868652
3,0.07268095016479492
4,0.07410407066345215
5,0.07068490982055664
6,0.11495614051818848
7,0.07764983177185059
8,0.07573175430297852
9,0.07238006591796875
10,0.08825397491455078
11,0.07232999801635742
12,0.0788428783416748
13,0.08070993423461914
14,0.07982730865478516
15,0.08251810073852539
16,0.0761559009552002
17,0.07367205619812012
18,0.08390212059020996
19,0.07478094100952148
20,0.07984113693237305
21,0.08711695671081543
22,0.07451701164245605
23,0.0789330005645752
24,0.07944488525390625
25,0.06804776191711426
26,0.07857108116149902
27,0.06978678703308105
28,0.08228302001953125
29,0.0798189640045166
30,0.07410883903503418
31,0.07195401191711426
32,0.07137823104858398
33,0.06655311584472656
34,0.07280206680297852
35,0.09084224700927734
36,0.10405802726745605
37,0.1748790740966797
38,0.0807199478149414
39,0.07703185081481934
40,0.07482290267944336
41,0.07643890380859375
42,0.07148385047912598
43,0.07246804237365723
44,0.07267403602600098
45,0.0742037296295166
46,0.0727989673614502
47,0.07932901382446289
48,0.07824993133544922
49,0.07617306709289551
50,0.07482194900512695
51,0.07255196571350098
52,0.07215285301208496
53,0.07177281379699707
54,0.07257390022277832
55,0.0791020393371582
56,0.07155323028564453
57,0.07368683815002441
58,0.08409905433654785
59,0.06886506080627441
60,0.07009506225585938
61,0.07424592971801758
62,0.07360720634460449
63,0.07228326797485352
64,0.07373166084289551
65,0.0695638656616211
66,0.07604002952575684
67,0.0760347843170166
68,0.08096837997436523
69,0.08147001266479492
70,0.08328437805175781
71,0.0765230655670166
72,0.08562779426574707
73,0.07327008247375488
74,0.07501602172851562
75,0.07488012313842773
76,0.07405591011047363
77,0.08168983459472656
78,0.08436417579650879
79,0.07802295684814453
80,0.07483696937561035
81,0.07631897926330566
82,0.07959413528442383
83,0.0719757080078125
84,0.07329893112182617
85,0.07665205001831055
86,0.07465910911560059
87,0.07388067245483398
88,0.07976889610290527
89,0.0792849063873291
90,0.07374095916748047
91,0.07719802856445312
92,0.0740351676940918
93,0.07413601875305176
94,0.07479596138000488
95,0.07493305206298828
96,0.07938504219055176
97,0.07551312446594238
98,0.07428097724914551
99,0.07532286643981934
100,0.07689499855041504
