request_number,latency_seconds
1,0.10726332664489746
2,0.06836509704589844
3,0.07706761360168457
4,0.07456207275390625
5,0.09207987785339355
6,0.07917571067810059
7,0.0728158950805664
8,0.07761025428771973
9,0.06960701942443848
10,0.07458615303039551
11,0.07219600677490234
12,0.07667922973632812
13,0.07089495658874512
14,0.07164502143859863
15,0.07637310028076172
16,0.07583022117614746
17,0.07109904289245605
18,0.07250404357910156
19,0.07662701606750488
20,0.07856082916259766
21,0.07670021057128906
22,0.07480907440185547
23,0.07516789436340332
24,0.07418990135192871
25,0.07813596725463867
26,0.08450007438659668
27,0.0722038745880127
28,0.06860017776489258
29,0.07351517677307129
30,0.07044196128845215
31,0.08258390426635742
32,0.07666707038879395
33,0.07566070556640625
34,0.07823801040649414
35,0.07277894020080566
36,0.07136821746826172
37,0.07386183738708496
38,0.07412385940551758
39,0.07030487060546875
40,0.08047103881835938
41,0.07464385032653809
42,0.1046762466430664
43,0.07672977447509766
44,0.07505202293395996
45,0.0795130729675293
46,0.07442998886108398
47,0.07731318473815918
48,0.07473301887512207
49,0.07663989067077637
50,0.07814693450927734
51,0.07517814636230469
52,0.07070398330688477
53,0.07028889656066895
54,0.08318209648132324
55,0.07584309577941895
56,0.07856392860412598
57,0.07869601249694824
58,0.07319402694702148
59,0.07289505004882812
60,0.08035111427307129
61,0.08026814460754395
62,0.07471489906311035
63,0.07747101783752441
64,0.07295894622802734
65,0.07485818862915039
66,0.07713723182678223
67,0.09323406219482422
68,0.10667705535888672
69,0.07951831817626953
70,0.07750296592712402
71,0.07932806015014648
72,0.07257604598999023
73,0.0793161392211914
74,0.0740201473236084
75,0.07917213439941406
76,0.08075404167175293
77,0.07725787162780762
78,0.07813191413879395
79,0.08040118217468262
80,0.07640290260314941
81,0.07833313941955566
82,0.07344198226928711
83,0.07258224487304688
84,0.0753469467163086
85,0.07824468612670898
86,0.08465838432312012
87,0.08035993576049805
88,0.076416015625
89,0.07034492492675781
90,0.07362985610961914
91,0.07321023941040039
92,0.10632801055908203
93,0.1996312141418457
94,0.08376073837280273
95,0.07804489135742188
96,0.0807960033416748
97,0.08368372917175293
98,0.07594704627990723
99,0.07209086418151855
100,0.07460999488830566
